Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2020-01-11,Back to the Future,1985,https://boxd.it/WcCup,4.5,,,2019-01-29
2020-01-11,Twelve Monkeys,1995,https://boxd.it/WcBkN,4.5,,,2019-01-30
2020-01-11,Casino,1995,https://boxd.it/WcBjZ,4.5,,,2019-01-31
2020-01-11,Requiem for a Dream,2000,https://boxd.it/WcBwf,4.5,,,2019-01-31
2020-01-11,The Chaos Class,1975,https://boxd.it/WcBEN,4.5,,,2019-01-31
2020-01-11,Black Swan,2010,https://boxd.it/WcCxt,4,,,2019-02-07
2020-01-11,Sin City,2005,https://boxd.it/WcBT9,4,,,2019-02-08
2020-01-11,Raiders of the Lost Ark,1981,https://boxd.it/WcCrb,4.5,,,2019-02-08
2020-01-11,Thalapathi,1991,https://boxd.it/WcBfN,4.5,,,2019-02-09
2020-01-11,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/WcBLp,4.5,,,2019-02-10
2020-01-11,No Country for Old Men,2007,https://boxd.it/WcBZL,4,,,2019-02-10
2020-01-11,Green Book,2018,https://boxd.it/WcCeV,4.5,,,2019-02-10
2020-01-11,Raging Bull,1980,https://boxd.it/WcCpp,4.5,,,2019-02-10
2020-01-11,Bawarchi,1972,https://boxd.it/WcCeh,4.5,,,2019-02-13
2020-01-11,Padosan,1968,https://boxd.it/WcCbH,4,,,2019-02-14
2020-01-11,Kaththi,2014,https://boxd.it/WcBRx,4,,,2019-02-19
2020-01-11,Inception: The Cobol Job,2010,https://boxd.it/WcC63,4,,,2019-02-19
2020-01-11,Good Will Hunting,1997,https://boxd.it/WcBmT,4,,,2019-02-20
2020-01-11,Paan Singh Tomar,2012,https://boxd.it/WcBtP,4,,,2019-02-20
2020-01-11,Delhi Belly,2011,https://boxd.it/WcBxR,4,,,2019-02-20
2020-01-11,Trainspotting,1996,https://boxd.it/WcBlB,4.5,,,2019-02-21
2020-01-11,Zindagi Na Milegi Dobara,2011,https://boxd.it/WcBsR,4.5,,,2019-02-22
2020-01-11,Theri,2016,https://boxd.it/WcC7l,3.5,,,2019-02-22
2020-01-11,Akira,1988,https://boxd.it/WcCx9,4.5,,,2019-02-22
2020-01-11,Gully Boy,2019,https://boxd.it/WcBCR,4.5,,,2019-02-23
2020-01-11,Fargo,1996,https://boxd.it/WcBlh,4.5,,,2019-02-24
2020-01-11,Ustad Hotel,2012,https://boxd.it/WcBAV,4,,,2019-02-27
2020-01-11,The Favourite,2018,https://boxd.it/WcC3D,4,,,2019-02-27
2020-01-11,"Monsters, Inc.",2001,https://boxd.it/WcByl,4.5,,,2019-02-28
2020-01-11,Nil Battey Sannata,2016,https://boxd.it/WcC2v,4.5,,,2019-02-28
2020-01-11,To Kill a Mockingbird,1962,https://boxd.it/WcC7Z,4,,,2019-02-28
2020-01-11,Finding Nemo,2003,https://boxd.it/WcBFV,4.5,,,2019-03-01
2020-01-11,Black Friday,2004,https://boxd.it/WcBSZ,4.5,,,2019-03-01
2020-01-11,Iqbal,2005,https://boxd.it/WcBXb,4,,,2019-03-02
2020-01-11,Talvar,2015,https://boxd.it/WcC1x,4.5,,,2019-03-02
2020-01-11,My Father and My Son,2005,https://boxd.it/WcBZB,4.5,,,2019-03-08
